8,0,0,1
7,10,1,1
10,1,2,1
6,13,3,1
1,4,4,1
12,9,5,1
6,13,3,0
13,7,6,1
8,7,7,1
1,8,8,1
7,11,9,1
7,8,10,1
4,6,11,1
0,11,12,1
2,9,13,1
13,7,6,0
1,11,14,1
5,9,15,1
13,5,16,1
5,4,17,1
7,10,1,0
3,4,18,1
6,4,19,1
8,7,7,0
13,8,20,1
0,7,21,1
2,0,22,1
9,10,23,1
6,5,24,1
6,10,25,1
9,2,26,1
11,4,27,1
10,0,28,1
12,2,29,1
13,0,30,1
8,1,31,1
8,11,32,1
7,2,33,1
10,0,34,1
1,8,35,1
2,13,36,1
8,0,37,1
1,6,38,1
9,4,39,1
2,8,40,1
5,2,41,1
3,4,18,0
13,11,42,1
13,0,43,1
3,4,44,1
1,0,45,1
3,4,44,0
11,0,46,1
2,10,47,1
13,11,42,0
0,1,48,1
6,5,24,0
10,0,34,0
12,6,49,1
8,3,50,1
9,13,51,1
10,0,28,0
13,9,52,1
13,7,53,1
12,5,54,1
9,11,55,1
2,9,13,0
13,1,56,1
7,10,57,1
6,4,58,1
11,4,59,1
2,7,60,1
1,11,14,0
3,0,61,1
0,7,62,1
7,1,63,1
1,13,64,1
8,11,32,0
7,1,65,1
9,2,66,1
9,2,26,0
12,4,67,1
12,4,67,0
8,7,68,1
8,1,31,0
0,12,69,1
7,10,57,0
13,0,30,0
11,0,46,0
1,0,70,1
5,0,71,1
1,5,72,1
7,1,63,0
1,4,73,1
6,9,74,1
9,5,75,1
9,2,66,0
8,7,76,1
11,1,77,1
9,11,78,1
3,2,79,1
2,7,60,0
7,6,80,1
0,7,62,0
0,1,81,1
2,0,82,1
4,0,83,1
7,1,84,1
3,10,85,1
10,6,86,1
3,2,79,0
13,5,16,0
11,4,87,1
1,11,88,1
6,9,74,0
1,13,89,1
7,4,90,1
4,0,91,1
4,6,11,0
5,4,92,1
8,7,93,1
1,5,72,0
12,9,94,1
9,5,75,0
4,0,91,0
8,3,95,1
0,1,96,1
4,0,83,0
5,2,41,0
8,3,95,0
8,0,37,0
3,7,97,1
9,3,98,1
1,7,99,1
8,10,100,1
4,11,101,1
9,13,51,0
3,4,102,1
13,2,103,1
7,9,104,1
13,8,105,1
5,12,106,1
5,3,107,1
9,10,23,0
1,13,89,0
13,9,52,0
3,0,108,1
0,3,109,1
7,2,110,1
6,4,58,0
6,4,111,1
1,7,99,0
1,0,45,0
3,4,102,0
3,10,85,0
11,4,112,1
3,11,113,1
8,5,114,1
4,7,115,1
2,13,116,1
8,6,117,1
6,10,118,1
12,10,119,1
2,10,47,0
5,12,120,1
8,4,121,1
9,11,55,0
11,7,122,1
12,10,123,1
3,2,124,1
5,0,71,0
13,6,125,1
4,5,126,1
8,10,100,0
1,4,127,1
11,4,112,0
1,8,128,1
11,0,129,1
12,2,130,1
13,0,131,1
3,8,132,1
5,4,92,0
2,11,133,1
9,12,134,1
10,1,135,1
1,12,136,1
0,8,137,1
7,8,10,0
13,3,138,1
7,13,139,1
2,0,140,1
1,3,141,1
11,8,142,1
2,0,140,0
5,9,15,0
10,2,143,1
13,4,144,1
13,2,103,0
7,2,110,0
12,6,49,0
1,3,145,1
2,13,36,0
0,1,96,0
2,0,22,0
1,8,35,0
9,12,134,0
6,10,146,1
10,13,147,1
12,4,148,1
1,4,127,0
11,13,149,1
12,0,150,1
9,7,151,1
2,11,152,1
4,7,115,0
11,0,153,1
12,9,5,0
2,9,154,1
9,7,151,0
2,9,154,0
9,2,155,1
0,8,156,1
6,10,146,0
12,7,157,1
0,4,158,1
1,3,159,1
5,3,160,1
5,3,161,1
12,5,54,0
2,7,162,1
12,7,163,1
3,7,164,1
7,9,104,0
4,6,165,1
1,6,38,0
8,3,50,0
2,0,166,1
7,4,90,0
5,7,167,1
4,11,168,1
11,8,142,0
13,7,169,1
5,3,161,0
12,7,170,1
12,10,119,0
13,1,56,0
1,8,171,1
4,2,172,1
8,0,0,0
12,9,173,1
3,9,174,1
0,11,175,1
11,7,122,0
5,2,176,1
10,4,177,1
13,3,138,0
13,3,178,1
8,2,179,1
10,11,180,1
5,10,181,1
2,9,182,1
7,1,65,0
4,11,183,1
10,6,86,0
7,2,184,1
7,8,185,1
7,6,186,1
5,9,187,1
0,3,109,0
2,13,188,1
1,2,189,1
8,0,190,1
6,11,191,1
9,1,192,1
0,7,21,0
0,8,156,0
9,1,192,0
11,6,193,1
8,2,194,1
6,11,191,0
3,5,195,1
5,8,196,1
1,13,197,1
13,4,198,1
2,5,199,1
11,4,27,0
13,5,200,1
3,7,164,0
11,12,201,1
6,4,202,1
8,7,203,1
7,2,184,0
5,4,204,1
5,3,107,0
10,0,205,1
12,7,170,0
8,7,203,0
9,11,78,0
7,4,206,1
1,8,207,1
3,7,208,1
10,11,180,0
7,1,209,1
5,12,120,0
3,13,210,1
1,4,211,1
12,2,212,1
12,0,150,0
13,8,20,0
2,0,166,0
2,9,213,1
4,11,101,0
13,5,214,1
9,8,215,1
11,3,216,1
3,8,132,0
12,10,217,1
0,8,218,1
3,7,219,1
10,0,205,0
12,3,220,1
9,2,221,1
10,8,222,1
0,1,48,0
8,6,223,1
1,8,207,0
13,8,105,0
5,0,224,1
6,5,225,1
0,11,175,0
8,0,226,1
13,11,227,1
5,4,17,0
0,11,12,0
6,4,228,1
2,0,229,1
13,4,230,1
8,5,114,0
12,4,148,0
12,10,123,0
9,11,231,1
0,1,232,1
8,7,68,0
8,4,233,1
13,3,178,0
1,7,234,1
8,5,235,1
1,4,4,0
8,2,179,0
9,11,231,0
12,9,173,0
0,1,232,0
9,0,236,1
8,9,237,1
6,5,238,1
6,10,118,0
6,11,239,1
5,4,240,1
4,2,172,0
6,3,241,1
8,10,242,1
6,8,243,1
8,9,244,1
4,10,245,1
13,0,246,1
5,4,204,0
10,12,247,1
5,6,248,1
4,5,249,1
10,2,143,0
11,1,77,0
4,11,183,0
0,4,158,0
2,9,213,0
7,8,250,1
4,11,168,0
5,13,251,1
0,12,69,0
8,11,252,1
5,2,253,1
3,9,254,1
8,7,93,0
9,3,98,0
8,11,252,0
1,0,70,0
9,4,255,1
1,13,197,0
6,5,256,1
12,2,29,0
6,1,257,1
6,1,257,0
10,1,2,0
4,6,258,1
6,4,259,1
3,13,210,0
6,2,260,1
3,12,261,1
12,10,262,1
5,0,224,0
6,5,263,1
13,0,264,1
12,8,265,1
1,3,159,0
8,2,266,1
4,3,267,1
7,11,268,1
3,0,108,0
2,3,269,1
12,2,270,1
13,4,271,1
8,1,272,1
4,1,273,1
11,3,216,0
7,1,84,0
5,0,274,1
8,0,190,0
6,2,275,1
12,0,276,1
11,5,277,1
11,8,278,1
9,3,279,1
7,1,209,0
11,0,153,0
12,10,262,0
1,2,280,1
9,0,281,1
11,5,277,0
11,13,149,0
2,8,282,1
2,8,40,0
7,0,283,1
6,2,260,0
12,2,130,0
6,1,284,1
4,1,285,1
12,3,286,1
9,8,287,1
2,11,152,0
0,2,288,1
0,9,289,1
8,2,194,0
12,2,290,1
5,8,196,0
1,4,211,0
5,12,106,0
3,7,97,0
13,5,200,0
7,9,291,1
12,3,220,0
6,3,241,0
10,3,292,1
3,9,293,1
3,6,294,1
2,0,82,0
10,1,135,0
13,4,230,0
6,4,111,0
4,0,295,1
4,1,273,0
4,6,165,0
2,13,116,0
8,6,117,0
9,13,296,1
0,2,288,0
11,10,297,1
9,4,298,1
6,2,275,0
9,2,299,1
10,3,292,0
4,0,300,1
5,0,274,0
1,0,301,1
8,2,266,0
5,7,167,0
13,11,302,1
4,0,303,1
13,5,214,0
12,9,94,0
10,9,304,1
1,2,189,0
7,4,305,1
0,9,289,0
12,5,306,1
4,12,307,1
3,11,113,0
8,9,244,0
7,13,139,0
1,8,8,0
6,5,225,0
9,13,296,0
1,11,88,0
9,4,39,0
11,5,308,1
8,10,309,1
0,12,310,1
1,9,311,1
5,3,160,0
7,11,312,1
7,6,313,1
12,4,314,1
10,11,315,1
0,8,137,0
13,0,246,0
12,2,270,0
8,6,223,0
6,11,316,1
7,8,250,0
6,10,25,0
3,2,124,0
5,9,187,0
11,4,317,1
13,11,302,0
6,4,202,0
6,8,243,0
0,12,318,1
9,10,319,1
8,3,320,1
5,6,248,0
10,7,321,1
3,9,174,0
12,3,322,1
10,3,323,1
7,6,186,0
