4,8,0,1,8
11,12,1,1,2
12,8,2,1,1
9,8,3,1,5
10,8,4,1,2
3,2,5,1,6
4,13,6,1,4
11,7,7,1,10
12,2,8,1,7
13,2,9,1,10
1,0,10,1,10
2,10,11,1,9
9,11,12,1,5
8,11,13,1,10
2,10,11,0,9
3,8,14,1,10
7,13,15,1,6
10,4,16,1,6
2,5,17,1,2
8,11,13,0,10
12,7,18,1,10
7,6,19,1,2
7,1,20,1,6
12,11,21,1,7
13,7,22,1,6
12,11,21,0,7
0,8,23,1,9
13,0,24,1,10
12,2,8,0,7
10,12,25,1,2
10,4,26,1,5
11,4,27,1,9
5,13,28,1,9
1,6,29,1,3
11,2,30,1,1
11,9,31,1,3
1,11,32,1,1
6,7,33,1,3
2,11,34,1,5
10,2,35,1,3
9,3,36,1,8
6,12,37,1,8
6,12,37,0,8
10,11,38,1,2
3,2,39,1,8
11,12,40,1,5
11,5,41,1,2
11,0,42,1,1
8,7,43,1,9
6,7,33,0,3
6,0,44,1,9
13,12,45,1,6
4,5,46,1,2
2,11,47,1,6
6,12,48,1,3
3,9,49,1,6
10,5,50,1,8
3,2,51,1,5
3,2,39,0,8
9,13,52,1,4
1,6,53,1,1
9,0,54,1,8
1,11,55,1,3
10,6,56,1,9
13,9,57,1,3
6,10,58,1,2
9,3,59,1,1
12,10,60,1,3
13,6,61,1,2
12,5,62,1,10
3,5,63,1,7
13,1,64,1,10
9,0,65,1,2
9,3,36,0,8
9,12,66,1,4
12,5,67,1,7
2,13,68,1,1
1,8,69,1,7
7,9,70,1,8
13,0,71,1,3
5,0,72,1,10
11,5,73,1,3
10,4,26,0,5
10,13,74,1,3
10,7,75,1,9
1,3,76,1,1
0,1,77,1,6
11,12,78,1,1
2,6,79,1,8
10,6,56,0,9
1,12,80,1,4
9,6,81,1,10
13,9,57,0,3
1,4,82,1,4
9,13,83,1,8
2,1,84,1,6
13,7,85,1,9
2,11,47,0,6
12,3,86,1,8
10,13,87,1,8
7,13,88,1,6
3,13,89,1,9
13,7,22,0,6
12,4,90,1,6
13,2,9,0,10
13,10,91,1,6
0,13,92,1,2
2,13,68,0,1
7,13,15,0,6
13,8,93,1,4
10,4,16,0,6
11,1,94,1,10
13,3,95,1,7
10,7,96,1,2
12,10,60,0,3
13,6,97,1,4
1,6,98,1,2
8,6,99,1,3
13,3,100,1,6
4,7,101,1,2
12,6,102,1,1
11,2,30,0,1
1,6,103,1,6
12,1,104,1,10
2,4,105,1,10
6,8,106,1,7
1,7,107,1,10
10,12,108,1,2
10,13,87,0,8
1,3,76,0,1
12,3,109,1,4
13,11,110,1,3
11,5,111,1,5
5,11,112,1,2
1,12,113,1,4
10,13,114,1,8
11,10,115,1,10
11,9,116,1,4
12,0,117,1,7
2,4,118,1,2
2,5,119,1,6
13,3,100,0,6
0,8,120,1,6
2,5,17,0,2
5,0,121,1,4
1,3,122,1,4
8,13,123,1,9
9,13,83,0,8
1,7,124,1,1
7,11,125,1,4
4,8,126,1,4
9,12,127,1,10
5,4,128,1,2
13,7,85,0,9
10,3,129,1,9
10,0,130,1,4
1,7,131,1,8
1,8,132,1,6
11,5,111,0,5
5,10,133,1,2
5,3,134,1,9
7,0,135,1,9
9,7,136,1,7
5,3,134,0,9
11,2,137,1,10
9,12,66,0,4
4,3,138,1,1
7,12,139,1,8
5,2,140,1,10
12,5,62,0,10
10,12,25,0,2
9,8,3,0,5
6,3,141,1,8
7,2,142,1,5
6,3,143,1,4
2,7,144,1,1
13,7,145,1,4
1,12,113,0,4
9,6,146,1,9
3,0,147,1,4
13,12,148,1,2
3,2,51,0,5
13,2,149,1,2
8,12,150,1,8
7,0,135,0,9
4,13,6,0,4
11,5,73,0,3
9,10,151,1,1
0,1,77,0,6
13,5,152,1,1
6,5,153,1,8
8,2,154,1,5
8,7,43,0,9
6,10,155,1,2
5,11,112,0,2
11,9,156,1,8
4,5,157,1,1
8,1,158,1,8
13,6,159,1,10
6,12,48,0,3
9,6,81,0,10
13,3,160,1,5
7,11,161,1,10
10,11,38,0,2
3,1,162,1,5
8,2,154,0,5
9,3,59,0,1
1,3,122,0,4
3,5,163,1,5
7,4,164,1,4
7,4,165,1,5
